Sequence 1, Testcase 1
Sequence 4, Testcase 1
Sequence 7, Testcase 1
Sequence 10, Testcase 1
Sequence 13, Testcase 1
Sequence 15, Testcase 1
Sequence 9, Testcase 2
Sequence 11, Testcase 2
Sequence 12, Testcase 3
Sequence 16, Testcase 4
Sequence 2, Testcase 5
Sequence 3, Testcase 5
Sequence 6, Testcase 5
Sequence 14, Testcase 6
Sequence 17, Testcase 6
Sequence 19, Testcase 6
Sequence 21, Testcase 6
Sequence 20, Testcase 7
Sequence 23, Testcase 7
Sequence 24, Testcase 8
Sequence 5, Testcase 9
Sequence 18, Testcase 16
Sequence 8, Testcase 22
Sequence 25, Testcase 22
Sequence 28, Testcase 22
Sequence 30, Testcase 22
Sequence 29, Testcase 27
Sequence 26, Testcase 30
Sequence 46, Testcase 30
Sequence 49, Testcase 30
Sequence 51, Testcase 30
Sequence 52, Testcase 30
Sequence 54, Testcase 30
Sequence 34, Testcase 31
Sequence 37, Testcase 31
Sequence 27, Testcase 32
Sequence 36, Testcase 33
Sequence 35, Testcase 35
Sequence 38, Testcase 35
Sequence 40, Testcase 35
Sequence 42, Testcase 35
Sequence 47, Testcase 36
Sequence 94, Testcase 36
Sequence 41, Testcase 37
Sequence 44, Testcase 37
Sequence 93, Testcase 38
Sequence 96, Testcase 38
Sequence 97, Testcase 38
Sequence 45, Testcase 39
Sequence 48, Testcase 41
Sequence 53, Testcase 46
Sequence 56, Testcase 46
Sequence 59, Testcase 46
Sequence 58, Testcase 48
Sequence 39, Testcase 49
Sequence 95, Testcase 51
Sequence 50, Testcase 55
Sequence 55, Testcase 70
Sequence 57, Testcase 77
Sequence 60, Testcase 77
Sequence 63, Testcase 77
Sequence 69, Testcase 77
Sequence 71, Testcase 77
Sequence 106, Testcase 81
Sequence 61, Testcase 89
Sequence 74, Testcase 89
Sequence 105, Testcase 90
Sequence 128, Testcase 90
Sequence 130, Testcase 90
Sequence 132, Testcase 90
Sequence 134, Testcase 90
Sequence 136, Testcase 90
Sequence 73, Testcase 91
Sequence 76, Testcase 91
Sequence 79, Testcase 91
Sequence 81, Testcase 91
Sequence 84, Testcase 91
Sequence 85, Testcase 91
Sequence 87, Testcase 91
Sequence 89, Testcase 91
Sequence 91, Testcase 91
Sequence 62, Testcase 94
Sequence 70, Testcase 94
Sequence 75, Testcase 95
Sequence 77, Testcase 95
Sequence 86, Testcase 95
Sequence 107, Testcase 96
Sequence 108, Testcase 96
Sequence 82, Testcase 98
Sequence 127, Testcase 99
Sequence 131, Testcase 100
