Sequence 1, Testcase 1
Sequence 4, Testcase 1
Sequence 7, Testcase 1
Sequence 10, Testcase 1
Sequence 13, Testcase 1
Sequence 15, Testcase 1
Sequence 9, Testcase 2
Sequence 11, Testcase 2
Sequence 12, Testcase 3
Sequence 16, Testcase 4
Sequence 14, Testcase 5
Sequence 17, Testcase 5
Sequence 19, Testcase 5
Sequence 21, Testcase 5
Sequence 20, Testcase 6
Sequence 23, Testcase 6
Sequence 24, Testcase 7
Sequence 2, Testcase 8
Sequence 3, Testcase 8
Sequence 6, Testcase 8
Sequence 5, Testcase 9
Sequence 8, Testcase 9
Sequence 25, Testcase 9
Sequence 28, Testcase 9
Sequence 29, Testcase 9
Sequence 34, Testcase 10
Sequence 37, Testcase 10
Sequence 35, Testcase 11
Sequence 38, Testcase 11
Sequence 41, Testcase 11
Sequence 45, Testcase 11
Sequence 18, Testcase 12
Sequence 26, Testcase 13
Sequence 27, Testcase 13
Sequence 46, Testcase 13
Sequence 49, Testcase 13
Sequence 51, Testcase 13
Sequence 53, Testcase 13
Sequence 56, Testcase 13
Sequence 59, Testcase 13
Sequence 30, Testcase 14
Sequence 48, Testcase 15
Sequence 36, Testcase 17
Sequence 52, Testcase 18
Sequence 54, Testcase 18
Sequence 47, Testcase 20
Sequence 50, Testcase 20
Sequence 93, Testcase 20
Sequence 95, Testcase 20
Sequence 31, Testcase 21
Sequence 32, Testcase 21
Sequence 39, Testcase 21
Sequence 96, Testcase 22
Sequence 97, Testcase 22
Sequence 44, Testcase 28
Sequence 106, Testcase 29
Sequence 105, Testcase 31
Sequence 40, Testcase 32
Sequence 42, Testcase 32
Sequence 127, Testcase 33
Sequence 55, Testcase 34
Sequence 58, Testcase 38
Sequence 57, Testcase 40
Sequence 60, Testcase 40
Sequence 62, Testcase 40
Sequence 68, Testcase 40
Sequence 70, Testcase 40
Sequence 61, Testcase 44
Sequence 74, Testcase 44
Sequence 94, Testcase 45
Sequence 73, Testcase 47
Sequence 75, Testcase 47
Sequence 77, Testcase 47
Sequence 84, Testcase 47
Sequence 86, Testcase 47
Sequence 99, Testcase 52
Sequence 100, Testcase 52
Sequence 98, Testcase 55
Sequence 107, Testcase 55
Sequence 111, Testcase 55
Sequence 112, Testcase 55
Sequence 104, Testcase 63
Sequence 63, Testcase 70
Sequence 69, Testcase 70
Sequence 71, Testcase 70
Sequence 101, Testcase 72
Sequence 102, Testcase 79
Sequence 66, Testcase 85
Sequence 67, Testcase 85
Sequence 113, Testcase 92
Sequence 116, Testcase 92
Sequence 115, Testcase 94
Sequence 121, Testcase 94
Sequence 125, Testcase 94
Sequence 76, Testcase 96
Sequence 79, Testcase 96
Sequence 81, Testcase 96
Sequence 85, Testcase 96
Sequence 87, Testcase 96
Sequence 89, Testcase 96
Sequence 91, Testcase 96
Sequence 128, Testcase 101
Sequence 130, Testcase 101
Sequence 132, Testcase 101
Sequence 134, Testcase 101
Sequence 136, Testcase 101
Sequence 64, Testcase 105
Sequence 108, Testcase 107
Sequence 117, Testcase 107
Sequence 114, Testcase 108
Sequence 126, Testcase 108
Sequence 82, Testcase 110
Sequence 120, Testcase 111
Sequence 122, Testcase 111
Sequence 131, Testcase 111
Sequence 119, Testcase 112
